Rank,City,Divergence,Segregation Category
73,"Amarillo city, TX",0.1678,Low-Medium Segregation
74,"San Bernardino city, CA",0.1673,Low-Medium Segregation
75,"Toledo city, OH",0.1661,Low-Medium Segregation
76,"Austin city, TX",0.1613,Low-Medium Segregation
77,"Fort Wayne city, IN",0.161,Low-Medium Segregation
78,"Lubbock city, TX",0.1572,Low-Medium Segregation
79,"Fontana city, CA",0.153,Low-Medium Segregation
80,"Augusta-Richmond County consolidated government (balance), GA",0.151,Low-Medium Segregation
81,"Arlington city, TX",0.15,Low-Medium Segregation
82,"Glendale city, AZ",0.1487,Low-Medium Segregation
83,"Virginia Beach city, VA",0.1487,Low-Medium Segregation
84,"Wichita city, KS",0.1485,Low-Medium Segregation
85,"Las Vegas city, NV",0.144,Low-Medium Segregation
86,"San Antonio city, TX",0.1411,Low-Medium Segregation
87,"Tucson city, AZ",0.1406,Low-Medium Segregation
88,"Stockton city, CA",0.1402,Low-Medium Segregation
89,"Anaheim city, CA",0.14,Low-Medium Segregation
90,"Bakersfield city, CA",0.1318,Low-Medium Segregation
91,"Fresno city, CA",0.1289,Low-Medium Segregation
92,"Des Moines city, IA",0.1284,Low-Medium Segregation
93,"Chandler city, AZ",0.1276,Low-Medium Segregation
94,"Moreno Valley city, CA",0.1253,Low-Medium Segregation
95,"Chesapeake city, VA",0.1181,Low-Medium Segregation
96,"Lexington-Fayette urban county, KY",0.1166,Low-Medium Segregation
97,"Mesa city, AZ",0.1146,Low-Medium Segregation
98,"Tacoma city, WA",0.1135,Low-Medium Segregation
99,"Henderson city, NV",0.1111,Low-Medium Segregation
100,"Corpus Christi city, TX",0.1075,Low-Medium Segregation
101,"Seattle city, WA",0.1043,Low-Medium Segregation
102,"Worcester city, MA",0.0999,Low-Medium Segregation
103,"Riverside city, CA",0.0967,Low-Medium Segregation
104,"Albuquerque city, NM",0.0966,Low-Medium Segregation
105,"Reno city, NV",0.0908,Low-Medium Segregation
106,"Gilbert town, AZ",0.0879,Low-Medium Segregation
107,"Fayetteville city, NC",0.0853,Low-Medium Segregation
108,"Modesto city, CA",0.0812,Low-Medium Segregation
109,"Madison city, WI",0.0812,Low-Medium Segregation
110,"Anchorage municipality, AK",0.0775,Low-Medium Segregation
111,"Portland city, OR",0.0683,Low-Medium Segregation
112,"El Paso city, TX",0.0644,Low-Medium Segregation
114,"Lincoln city, NE",0.0464,Low-Medium Segregation
115,"Cape Coral city, FL",0.0379,Low-Medium Segregation
116,"Boise City city, ID",0.0379,Low-Medium Segregation
118,"Spokane city, WA",0.0219,Low-Medium Segregation
119,"Laredo city, TX",0.0109,Low-Medium Segregation
113,"Colorado Springs city, CO",0.0531,Integrated
117,"Port St. Lucie city, FL",0.027,Integrated
